Токен,POS
Недели,NOUN
мусолю,ADJ
.,PUNCT
В,ADP
душном,ADJ
вагоне,NOUN
–,PUNCT
будто,SCONJ
в,ADP
горниле,NOUN
.,PUNCT
Керчь,PROPN
и,CCONJ
Калькутта,PROPN
",",PUNCT
Волга,PROPN
none, none
Висла,PROPN			   
.,PUNCT
То,SCONJ
улетаю,VERB
",",PUNCT
то,SCONJ
отплываю,ADJ
.,PUNCT
Слушаю,VERB
притчи,NOUN
о,ADP
долготерпенье,NOUN
.,PUNCT
Как,SCONJ
протодьякон,NOUN
в,ADP
праздничной,ADJ
церкви,NOUN
",",PUNCT
голос,NOUN
единственный,ADJ
надрываю,NOUN
.,PUNCT
Спросят,VERB
вас,PRON
оробело,VERB
:,PUNCT
“,PUNCT
Кто,PRON
же,PART
тогда,ADV
останется,VERB
",",PUNCT
Если,SCONJ
все,DET
будут,AUX
первыми,ADJ
none, none			 
none, none		   
пойдёт,VERB
в,ADP
замыкающих,NOUN
?,PUNCT
”,PUNCT
Под,ADP
снегом,NOUN
великим,ADJ
",",PUNCT
над,ADP
временем,NOUN
тысячеверстным,VERB
безмолвные,ADJ
крики,NOUN
висят,VERB
none, none		 
зацепившись,VERB
за,ADP
звезды,NOUN
.,PUNCT
Всего,PRON
Гомера,PROPN
знавший,VERB
назубок,NOUN
.,PUNCT
Его,PRON
считал,VERB
своею,ADJ
креатурой,NOUN
тогда,ADV
еще,ADV
существовавший,VERB
бог,NOUN
.,PUNCT
Мы,PRON
на,ADP
роли,NOUN
предателей,NOUN
",",PUNCT
трусов,NOUN
none, none		 
иуд,VERB
в,ADP
детских,ADJ
играх,NOUN
своих,DET
назначали,VERB
врагов,NOUN
.,PUNCT
Красно-белый,ADJ
none, none		  
none, none		  
"""",PUNCT
Икарус,NOUN
none, none		
",",PUNCT
ослепительно,VERB
чистый,ADJ
none, none		 
тихий,ADJ
и,CCONJ
стремительный,ADJ
none, none		 
с,ADP
надписью,NOUN
none, none		
Подарок,NOUN
Москвы,PROPN
none, none		
на,ADP
обоих,NUM
бортах,NOUN
.,PUNCT
Борис,PROPN
Зайцев,PROPN
.,PUNCT
Кулаков,PROPN
.,PUNCT
Крепкое,ADJ
сообщество,NOUN
.,PUNCT
белые,ADJ
перышки,ADJ
облаков,NOUN
аукались,ADJ
перышками,ADJ
яхт,NOUN
на,ADP
нежно-голубой,ADJ
none, none		  
none, none		   
глади,NOUN
none, none	   
Ты,PRON
поймёшь,VERB
",",PUNCT
что,SCONJ
узнал,VERB
none, none		 
отличил,NOUN
none, none		 
отыскал,VERB
По,ADP
оскалу,NOUN
забрал,VERB
—,PUNCT
это,PART
смерти,NOUN
оскал,NOUN
!,PUNCT
И,CCONJ
всегда,ADV
позади,ADP
вороньё,VERB
и,CCONJ
гробы,NOUN
!,PUNCT
он,PRON
сослепу,VERB
мёл,VERB
на,ADP
него,PRON
мусор,NOUN
.,PUNCT
Но,CCONJ
как,ADV
это,PRON
будет,AUX
практически,ADV
―,PUNCT
было,AUX
для,ADP
меня,PRON
самой,ADJ
животрепещущей,ADJ
тайной,NOUN
.,PUNCT
В,ADP
результате,NOUN
всего,PART
этого,PRON
наше,DET
светило,NOUN
",",PUNCT
сделанное,VERB
из,ADP
доброй,ADJ
сотни,NOUN
воздушных,ADJ
шаров,NOUN
none, none		 
появилось,VERB
под,ADP
куполом,NOUN
цирка,NOUN
.,PUNCT
Поэтому,ADV
в,ADP
трилогии,NOUN
Гарева,PROPN
заменил,VERB
Шило,PROPN
.,PUNCT
Год,NOUN
назад,ADV
я,PRON
не,PART
пила,VERB
.,PUNCT
Пила,PROPN
и,CCONJ
Анечка,PROPN
.,PUNCT
Пила,NOUN
продолжает,VERB
работать,VERB
",",PUNCT
но,CCONJ
цепь,NOUN
уже,ADV
не,PART
движется,VERB
.,PUNCT
жаркое,ADJ
из,ADP
дикого,ADJ
кабана,NOUN
none, none
В,ADP	   
это,DET
жаркое,ADJ
",",PUNCT
сумасшедше,VERB
красивое,ADJ
парижское,ADJ
лето,NOUN
.,PUNCT
Это,PRON
светило,NOUN
над,ADP
нами,PRON
солнце,NOUN
.,PUNCT
Зайцев,PROPN
здесь,ADV
полно,ADV
.,PUNCT
Очевидно,ADV
",",PUNCT
брал,VERB
верх,NOUN
инстинкт,NOUN
безоружного,ADJ
рода,NOUN
его,PRON
none, none		 
не,PART
боявшегося,ADJ
силы,NOUN
чужих,ADJ
мыслей,NOUN
none, none		 
но,CCONJ
none, none						 
none, none			 
none, none			  
кулаков,NOUN
.,PUNCT
Потому,ADV
что,SCONJ
Вовка,PROPN
у,ADP
них,PRON
все,DET
игрушки,NOUN
забрал,VERB
.,PUNCT
Моя,DET
подруга,NOUN
Танька,PROPN
",",PUNCT
детский,ADJ
психолог,NOUN
none, none		 
считает,VERB
none, none	   
что,SCONJ
Максимке,PROPN
совершенно,ADV
необходима,ADJ
собака,NOUN
.,PUNCT
Чарльз,PROPN
Спенсер,PROPN
Чаплин,PROPN
стал,VERB
звездой,NOUN
",",PUNCT
когда,SCONJ
только,PART
начала,VERB
складываться,VERB
система,NOUN
звёзд,NOUN
.,PUNCT
