Токен,POS
Недели,100
мусолю,92
.,97
В,85
душном,84
вагоне,92
–,97
будто,98
в,85
горниле,92
.,97
Керчь,96
и,89
Калькутта,96
",",97
Волга,96
и,89
Висла,96
.,97
То,95
улетаю,100
",",97
то,98
отплываю,100
.,97
Слушаю,100
притчи,92
о,85
долготерпенье,92
.,97
Как,98
протодьякон,92
в,85
праздничной,84
церкви,92
",",97
голос,92
единственный,84
надрываю,100
.,97
Спросят,100
вас,95
оробело:“Кто,96
none, none	   
none, none 	 
none, none		   
же,94
тогда,86
останется,100
",",97
Если,98
все,95
будут,87
первыми,84
",",97
Кто,95
пойдёт,100
в,85
замыкающих,100
?,97
”,97
Под,85
снегом,92
великим,84
",",97
над,85
временем,92
тысячеверстным,84
безмолвные,84
крики,92
висят,100
",",97
зацепившись,100
за,85
звезды,92
.,97
Всего,86
Гомера,96
знавший,100
назубок,92
.,97
Его,95
считал,100
своею,92
креатурой,92
тогда,86
еще,86
существовавший,100
бог,92
.,97
Мы,95
на,85
роли,92
предателей,92
",",97
трусов,92
",",97
иуд,96
в,85
детских,84
играх,92
своих,90
назначали,100
врагов,92
.,97
Красно,84
-,84
белый,84
"""",97
Икарус,92
"""",97
",",97
ослепительно,86
чистый,84
",",97
тихий,84
и,89
стремительный,84
",",97
с,85
надписью,92
"""",97
Подарок,92
Москвы,96
"""",97
на,85
обоих,93
бортах,92
.,97
Борис,96
Зайцев,96
.,97
Кулаков,96
.,97
Крепкое,84
сообщество,92
.,97
белые,84
перышки,92
облаков,92
аукались,100
перышками,92
яхт,92
на,85
нежно,84
-,84
голубой,84
глади,92
.,97
Ты,95
поймёшь,92
",",97
что,95
узнал,100
",",97
отличил,100
",",97
отыскал,100
По,85
оскалу,92
забрал,100
—,97
это,94
смерти,92
оскал,100
!,97
И,89
всегда,86
позади,86
вороньё,84
и,89
гробы,92
!,97
он,95
сослепу,100
мёл,92
на,85
него,95
мусор,92
.,97
Но,89
как,86
это,95
будет,87
практически,86
―,97
было,87
для,85
меня,95
самой,84
животрепещущей,100
тайной,92
.,97
В,85
результате,92
всего,90
этого,95
наше,90
светило,92
",",97
сделанное,100
из,85
доброй,84
сотни,92
воздушных,84
шаров,92
",",97
появилось,100
под,85
куполом,92
цирка,92
.,97
Поэтому,86
в,85
трилогии,92
Гарева,96
заменил,100
Шило,96
.,97
Год,92
назад,86
я,95
не,94
пила,100
.,97
Пила,92
и,89
Анечка,96
.,97
Пила,92
продолжает,100
работать,100
",",97
но,89
цепь,92
уже,86
не,94
движется,100
.,97
жаркое,84
из,85
дикого,84
кабана,92
.,97
В,85
это,90
жаркое,84
",",97
сумасшедше,84
красивое,84
парижское,84
лето,92
.,97
Это,95
светило,100
над,85
нами,95
солнце,92
.,97
Зайцев,96
здесь,86
полно,86
.,97
Очевидно,86
",",97
брал,100
верх,92
инстинкт,92
безоружного,84
рода,92
его,95
",",97
не,94
боявшегося,100
силы,92
чужих,84
мыслей,92
",",97
но,89
боявшегося,100
силы,92
чужих,84
кулаков,92
.,97
Потому,86
что,98
Вовка,96
у,85
них,95
все,90
игрушки,92
забрал,100
.,97
Моя,90
подруга,92
Танька,96
",",97
детский,84
психолог,92
",",97
считает,100
",",97
что,98
Максимке,96
совершенно,86
необходима,84
собака,92
.,97
Чарльз,96
Спенсер,96
Чаплин,96
стал,100
звездой,92
",",97
когда,98
только,94
начала,100
складываться,100
система,92
звёзд,92
.,97
