Токен,POS
недели,NOUN
мусолю,VERB
.,PUNCT
в,PROP
душном,ADJ
вагоне,NOUN
–,PUNCT
будто,CONJ
в,PROP
горниле,NOUN
.,PUNCT
керчь,NOUN
и,CONJ
калькутта,PROPN
",",PUNCT
волга,PROPN
и,CONJ
висла,PROPN
.,PUNCT
то,CONJ
улетаю,VERB
",",PUNCT
то,CONJ
отплываю,VERB
.,PUNCT
слушаю,VERB
притчи,NOUN
о,PROP
долготерпенье,NOUN
.,PUNCT
как,CONJ
протодьякон,NOUN
в,PROP
праздничной,ADJ
церкви,NOUN
",",PUNCT
голос,NOUN
единственный,ADJ
надрываю,VERB
.,PUNCT
спросят,VERB			  
вас,PRON
оробело,ADV
:,PUNCT
“,PUNCT
кто,PRON
же,PART
тогда,ADV
останется,VERB
",",PUNCT
если,CONJ
все,PRON
будут,VERB
первыми,ADJ
",",PUNCT	   
кто,PRON
пойдёт,VERB
в,PROP
замыкающих,ADJ
?,PUNCT
”,PUNCT
под,PROP	 
снегом,NOUN
великим,ADJ
",",PUNCT
над,PROP
временем,NOUN
тысячеверстным,ADJ
безмолвные,ADJ
крики,NOUN
висят,VERB
",",PUNCT
зацепившись,VERB
за,PROP
звезды,NOUN
.,PUNCT
всего,ADJ
гомера,PROPN
знавший,VERB
назубок,ADV
.,PUNCT
его,PRON
считал,VERB
своею,ADJ
креатурой,NOUN
тогда,ADV
еще,ADV
существовавший,VERB
бог,NOUN
.,PUNCT
мы,PRON
на,PROP
роли,NOUN
предателей,NOUN
",",PUNCT
трусов,NOUN
",",PUNCT
иуд,NOUN
в,PROP
детских,ADJ
играх,NOUN
своих,ADJ
назначали,VERB
врагов,NOUN
.,PUNCT
красно-белый,ADJ
none, none
none, none
``,PUNCT
икарус,NOUN
'',PUNCT
",",PUNCT
ослепительно,ADV
чистый,ADJ
",",PUNCT
тихий,ADJ
и,CONJ
стремительный,ADJ
",",PUNCT
с,PROP
надписью,NOUN
``,PUNCT
подарок,NOUN
москвы,PROPN
'',PUNCT
на,PROP
обоих,ADJ
бортах,NOUN
.,PUNCT
борис,PROPN
зайцев,PROPN
.,PUNCT
кулаков,PROPN
.,PUNCT
крепкое,ADJ
сообщество,NOUN
.,PUNCT
белые,ADJ
перышки,NOUN
облаков,NOUN
аукались,VERB
перышками,NOUN
яхт,NOUN
на,PROP
нежно-голубой,ADJ							
none, none
none, none 
глади,NOUN
.,PUNCT
ты,PRON 
поймёшь,VERB
",",PUNCT
что,CONJ
узнал,VERB
",",PUNCT
отличил,VERB
",",PUNCT
отыскал,VERB
по,PROP
оскалу,NOUN
забрал,NOUN
—,PUNCT
это,PART
смерти,NOUN
оскал,NOUN
!,PUNCT
и,CONJ
всегда,ADV
позади,ADV
вороньё,NOUN
и,CONJ
гробы,NOUN
!,PUNCT
он,PRON
сослепу,ADV
мел,VERB
на,PROP
него,PROP
мусор,NOUN
.,PUNCT
но,CONJ
как,ADV
это,PRON
будет,VERB
практически,ADV
―,PUNCT
было,VERB
для,PROP
меня,PRON
самой,PRON
животрепещущей,ADJ
тайной,NOUN
.,PUNCT
в,PROP
результате,NOUN
всего,ADJ
этого,PRON
наше,PRON
светило,NOUN
",",PUNCT
сделанное,VERB
из,PROP
доброй,ADJ
сотни,NOUN
воздушных,ADJ
шаров,NOUN
",",PUNCT
появилось,VERB
под,PROP
куполом,NOUN
цирка,NOUN
.,PUNCT
поэтому,ADV
в,PROP
трилогии,NOUN
гарева,PROPN
заменил,VERB
шило,PROPN
.,PUNCT
год,NOUN
назад,ADV
я,PRON
не,PART
пила,VERB
.,PUNCT
пила,VERB
и,CONJ
анечка,PROPN
.,PUNCT
пила,NOUN
продолжает,VERB
работать,VERB
",",PUNCT
но,CONJ
цепь,NOUN
уже,ADV
не,PART
движется,VERB
.,PUNCT
жаркое,NOUN
из,PROP
дикого,ADJ
кабана,NOUN
.,PUNCT
в,PROP
это,DET
жаркое,ADJ
",",PUNCT
сумасшедше,ADJ
красивое,ADJ
парижское,ADJ
лето,NOUN
.,PUNCT
это,PART
светило,VERB
над,PROP
нами,NOUN
солнце,NOUN
.,PUNCT
зайцев,NOUN
здесь,ADV
полно,ADV
.,PUNCT
очевидно,ADV
",",PUNCT
брал,VERB
верх,NOUN
инстинкт,NOUN
безоружного,ADJ
рода,NOUN
его,PRON
",",PUNCT
не,PART
боявшегося,VERB
силы,NOUN
чужих,ADJ
мыслей,NOUN
",",PUNCT
но,CONJ
боявшегося,VERB
силы,NOUN
чужих,ADJ
кулаков,NOUN
.,PUNCT
потому,ADV
что,CONJ
вовка,PROPN
у,PROP
них,PRON
все,ADJ
игрушки,NOUN
забрал,VERB
.,PUNCT
моя,ADJ
подруга,NOUN
танька,PROPN
",",PUNCT
детский,ADJ
психолог,NOUN
",",PUNCT
считает,VERB
,,PUNCT
что,CONJ
максимке,PROPN
совершенно,ADV
необходима,ADJ
собака,NOUN
.,PUNCT
чарльз,PROPN
спенсер,PROPN
чаплин,PROPN
стал,VERB
звездой,NOUN
",",PUNCT
когда,CONJ
только,ADV
начала,VERB
складываться,VERB
система,NOUN
звёзд,NOUN
.,PUNCT
