Токен,POS
Недели,VERB
мусолю.,PROPN
none, none
В,ADP	   
душном,ADJ
вагоне,NOUN
–,PUNCT
будто,PART
в,ADP
горниле.,VERB
none, none
Керчь,VERB			   
и,CCONJ
"Калькутта,",ADV
none, none	 
Волга,PROPN
и,CCONJ
Висла.,PROPN
none, none
То,PRON		 
"улетаю,",PUNCT
none, none
то,SCONJ
отплываю.,PROPN
none, none 
Слушаю,VERB
притчи,NOUN
о,ADP
долготерпенье.,VERB
none, none
Как,SCONJ		   
протодьякон,NOUN
в,ADP
праздничной,NOUN
"церкви,",PUNCT
none, none
голос,NOUN
единственный,ADJ
надрываю.,PROPN
none, none
Спросят,VERB				
вас,PRON
оробело:“Кто,PART
none, none
none, none
none, none  
же,PART
тогда,ADV
"останется,",ADV
none, none
Если,SCONJ		 
все,PRON
будут,AUX
"первыми,",ADV
none, none
Кто,PRON
пойдёт,VERB
в,ADP
замыкающих?”,NOUN
none, none
none, none
Под,ADP	 	 
снегом,NOUN
"великим,",ADJ
none, none
над,ADP
временем,NOUN
тысячеверстным,ADJ
безмолвные,ADJ
крики,NOUN
"висят,",ADV
none, none
зацепившись,VERB
за,ADP
звезды.,PROPN
none, none
Всего,PRON		  
Гомера,PROPN
знавший,VERB
назубок.,ADP
none, none
Его,PRON
считал,VERB
своею,DET
креатурой,NOUN
тогда,ADV
еще,ADV
существовавший,VERB
бог.,NOUN
none, none  
Мы,PRON
на,ADP
роли,NOUN
"предателей,",PUNCT
none, none 
"трусов,",ADV
none, none 
иуд,NOUN
в,ADP
детских,ADJ
играх,NOUN
своих,DET
назначали,VERB
врагов.,NOUN
none, none  
Красно-белый,ADJ
none, none
none, none
"""Икарус"",",PUNCT
none, none				 
none, none		
none, none		 
ослепительно,ADV
"чистый,",ADV
none, none		 
тихий,ADJ
и,CCONJ
"стремительный,",ADV
none, none		 
с,ADP
надписью,NOUN
none, none		
"""Подарок",NOUN
"Москвы""",PUNCT
none, none		
на,ADP
обоих,NUM
бортах.,NOUN
none, none	   
Борис,PROPN
Зайцев.,PROPN
none, none	   
Кулаков.,ADJ
none, none
Крепкое,ADJ	  
сообщество.,NOUN
none, none	   
белые,ADJ
перышки,NOUN
облаков,NOUN
аукались,VERB
перышками,NOUN
яхт,NOUN
на,ADP
нежно-голубой,ADJ
none, none		  
none, none 
глади.,PROPN
none, none	   
Ты,PRON
"поймёшь,",ADV
none, none	 
что,SCONJ
"узнал,",ADV
none, none		 
"отличил,",ADV
none, none		 
отыскал,VERB
По,ADP
оскалу,NOUN
забрал,VERB
—,PUNCT
это,PRON
смерти,NOUN
оскал!,PUNCT
none, none
И,CCONJ   
всегда,ADV
позади,ADV
вороньё,PRON
и,PART
гробы!,PUNCT
none, none
он,PRON
сослепу,NOUN
мёл,VERB
на,ADP
него,PRON
мусор.,NOUN
none, none
Но,CCONJ	 
как,ADV
это,PRON
будет,VERB
практически,ADV
―,PUNCT
было,VERB
для,ADP
меня,PRON
самой,ADJ
животрепещущей,ADJ
тайной.,PROPN
none, none
В,ADP  
результате,NOUN
всего,DET
этого,PRON
наше,DET
"светило,",ADV
none, none	 
сделанное,VERB
из,ADP
доброй,ADJ
сотни,NOUN
воздушных,ADJ
"шаров,",PUNCT
none, none	 
появилось,VERB
под,ADP
куполом,NOUN
цирка.,PROPN
none, none  
Поэтому,ADV
в,ADP
трилогии,NOUN
Гарева,PROPN
заменил,VERB
Шило.,PROPN
none, none	   
Год,NOUN
назад,ADV
я,PRON
не,PART
пила.,PROPN
none, none	   
Пила,VERB
и,PART
Анечка.,PROPN
none, none	   
Пила,NOUN
продолжает,VERB
"работать,",ADV
none, none		 
но,CCONJ
цепь,NOUN
уже,ADV
не,PART
движется.,PROPN
none, none
жаркое,ADJ				 
из,ADP
дикого,ADJ
кабана.,PROPN
none, none
В,ADP   
это,PRON
"жаркое,",ADV
none, none	 
сумасшедше,ADJ
красивое,ADJ
парижское,ADJ
лето.,NOUN
none, none	   
Это,PRON
светило,VERB
над,ADP
нами,PRON
солнце.,VERB
none, none	   
Зайцев,NOUN
здесь,ADV
полно.,NOUN
none, none   
"Очевидно,",ADV
none, none	 
брал,VERB
верх,NOUN
инстинкт,NOUN
безоружного,ADJ
рода,NOUN
"его,",ADV
none, none	 
не,PART
боявшегося,VERB
силы,NOUN
чужих,ADJ
"мыслей,",PUNCT
none, none 
но,CCONJ
боявшегося,VERB
силы,NOUN
чужих,ADJ
кулаков.,NOUN
none, none	   
Потому,ADV
что,SCONJ
Вовка,PROPN
у,ADP
них,PRON
все,DET
игрушки,NOUN
забрал.,ADJ
none, none
Моя,DET
подруга,NOUN
"Танька,",ADV
none, none
детский,ADJ
"психолог,",PUNCT
none, none	 
"считает,",ADV
none, none  
что,SCONJ
Максимке,PROPN
совершенно,ADV
необходима,ADJ
собака.,PROPN
none, none   
Чарльз,PROPN
Спенсер,PROPN
Чаплин,PROPN
стал,VERB
"звездой,",ADV
none, none	 
когда,SCONJ
только,PART
начала,VERB
складываться,VERB
система,NOUN
звёзд.,ADV
none, none
